b'basic information',b'description'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/12/2017 08:30  (Entered as : 02/12/17 08:30)<BR>Reported: 2/12/2017 8:17:27 AM 08:17<BR>Posted: 2/17/2017<BR>Location: Winter Springs, FL<BR>Shape: Cigar<BR>Duration:60 seconds</FONT></TD>'","b'COLOR=#000000>White lit cigar shaped object moving very quickly and effortlessly for a minute before disappearing to the East in the blink of an eye.<BR><BR>At 8:30 this morning at my house, something caught my eye in the sky to the East.  It is difficult to estimate the height and location of the object, but I estimate it was centered over Winter Springs, Florida at a height that was a little higher than you would typically see a helicopter.  The object was likely Frisbee shaped, but I believe I was just seeing it from the side which I would describe as Cigar shaped.  My first thought was that it was a drone, but it was moving too quickly and effortlessly.  It went from the original location to the left and hovered, then to the right and hovered, and then up higher to hover.  The changes in location were split second, not gradual changes.  The object seemed to be lit up with a white light that covered its entire shape.  Based on how white the light was and that it didn&#8217;t seem like a glare, my guess is that it was a light coming from the object and not the sun&#8217;s reflection.  I was able to track the minor movemen! ts for about a minute before the object proceeded East at a speed that disappeared from view within a moment.  It is a sunny day here with some clouds in the sky, but no weather conditions can explain what I saw.  This is my first time in seeing something like this, and I want to know if anyone else has seen this object in my area.<BR><BR></FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/12/2017 02:45  (Entered as : 02/12/17 2:45)<BR>Reported: 2/12/2017 12:28:51 AM 00:28<BR>Posted: 2/17/2017<BR>Location: Lithia, FL<BR>Shape: Fireball<BR>Duration:4 seconds</FONT></TD>'",b'COLOR=#000000>Large green fireball fall from northeast coast toward southeast.<BR><BR>At 2:45 I was outside having a smoke when I saw a very large green and red fireball in the direction of Cape Kennedy on the east coast fall toward the southeast.  Very large leaving a fiery trail.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/12/2017 02:03  (Entered as : 02/12/2017 02:03)<BR>Reported: 2/11/2017 10:54:39 PM 22:54<BR>Posted: 2/17/2017<BR>Location: Fredericton (Canada), NB<BR>Shape: Changing<BR>Duration:15 minutes</FONT></TD>'","b'COLOR=#000000>Bright, multi coloured, shape changing object, very large, low in the sky, hovering then moving off quickly.<BR><BR>This was completely by accident.  I was getting up to get some honey for my sore throat.  I noticed that the moon was very bright, however very few stars actually visible in the night sky.  We are accustomed to seeing planes come in from the direction I was looking.  What caught my eye was that it did not appear to be moving and rather than the traditional, well timed flash of lights on the wing of a plane, these were multi coloured and extremely bright lights. And rather than the lights appearing to be on the object, the lights seemed to be the object and around the object all at the same time.  The other anomaly was that it was not moving.  I lined it up with a street light on the other side of the city and stood stationary and it never moved.  The tree line was also visible in the dark and it was not going up or down either.  We keep binoculars in the kitchen window for bird watching so I steadied my arms by resting them on the counter and looked through.  Plane shapes are easily seen this way.  This was not holding a specific shape and seemed to change randomly in a fluid manner.<BR><BR>I woke up my house mate and the first suggestion was that it may be Sirius which most certainly can have bright flashing colours.  Although we have never seen Sirius that low in the sky. The other thing that was strange was that it looked considerably bigger than a star in the sky.  Taking into consideration there were only two other stars visible in the clear view of the sky from the kitchen window, it was strange enough to keep watching.<BR><BR>After approximately another five minutes of watching it, the object slowly moved away in the direction of South West fairly fast until it appeared to be lowering in the sky to the tree line.  It was definitely moving away rather than dropping because it was getting smaller and harder to see.<BR><BR>Taking the distance from the object, night time hours, treeline and buildings into consideration, I would estimate the overall size (although fluidly changing) to be that of five to six city buses, end to end, wide.  And perhaps four city buses, end to end, high.<BR><BR>We both had the sensation of feeling unnerved.  I can only describe it as feeling like we were seeing something that was not right.  Even when we trying to rationalize that it was a star or something else.  It was a little upsetting and exciting at the same time.  Just a knowing that something was, off?  Hard to put my finger on it.<BR><BR>I do not need to be contacted by anyone, however if anyone has questions I am happy to  answer them.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/12/2017 01:30  (Entered as : 02/12/17 1:30 Am)<BR>Reported: 2/12/2017 12:29:12 AM 00:29<BR>Posted: 2/17/2017<BR>Location: Brook Park, MN<BR>Shape: Other<BR>Duration:Current</FONT></TD>'",b'COLOR=#000000>We noticed a sweet fruity smell and a smell that was dusty and smelt like gun powder.  The dogs were sniffing as well. We got sick and dizzy and went out for fresh air.  We noticed that we could not see many stars and saw UFOS in a circle around this area.  We saw odd smog clouds that were grey dropped from theese ufos.  The ufos did not appear to be the same either.  One really bright one look like it had 5 points (like a star.)&amp;nbsp;  Other ones were harder to see and some were multi colored.  The ufos appear to be getting close and bigger and out the coner of my eye a saw a yellow flare drop from one ufo.  Shortly after another smog like cloud appeared.  The clouds of smog seem to expand and sink to the ground coating&amp;nbsp; everything.  I noticed the snow on the ground seemed different as well.  It was more sparkly and had an odor.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/12/2017 01:25  (Entered as : 02/12/17 01:25)<BR>Reported: 2/12/2017 2:14:36 AM 02:14<BR>Posted: 2/17/2017<BR>Location: Rancho Palos Verdes, CA<BR>Shape: Triangle<BR>Duration:4 minutes</FONT></TD>'",b'COLOR=#000000>During my rounds around the property I observed a triangle shaped craft flashing multiple lights at a low altitude.  The craft came from the north of the mountain.  Was visible for 4 minutes until it vanished seemed to be some sort of cloaking.  My background is graveyard security officer.<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 21:15  (Entered as : 02/11/17 21:15)<BR>Reported: 2/11/2017 7:57:49 PM 19:57<BR>Posted: 2/17/2017<BR>Location: Wausau, WI<BR>Shape: Circle<BR>Duration:</FONT></TD>'","b'COLOR=#000000>I was driving home from work, the sky was overcast and I noticed 3, what I thought might have been a planet and stars, but it was to overcast to see anything, even the moon was blocked and could only see the light.<BR><BR>They were pinkish color and stationary,  I was driving on the interstate so I couldn&#8217;t pull over to get a better view or watch them.<BR><BR>They weren&#8217;t tower lights, I drive that every day and never seen them before.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 21:00  (Entered as : 02/11/17 21:00)<BR>Reported: 2/11/2017 6:21:49 PM 18:21<BR>Posted: 2/17/2017<BR>Location: Fuquay-Varina, NC<BR>Shape: Circle<BR>Duration:5 minutes</FONT></TD>'","b'COLOR=#000000>While taking the family dog outside, it was identified that an unknown glowing orange object around 1000 feet up was flying just above our house with no sound whatsoever.  The object remained at the same altitude and speed until no longer in sight.  The orange glow was not indicative of a commercial craft plus it had no propulsion noise.  We started recording the event on an iPhone and it was recording but when we went to replay the video only the first seconds actually were captured.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 20:00  (Entered as : 02/11/2017 20:00)<BR>Reported: 2/12/2017 8:55:48 PM 20:55<BR>Posted: 2/17/2017<BR>Location: Stevensville, MT<BR>Shape: Light<BR>Duration:10 minutes</FONT></TD>'",b'COLOR=#000000>Large bright light with some red moving very slowly in the west.  Then just faded.  Two nights in a row.  Second night seen by three people.  Seemed to go behind the peak.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 19:38  (Entered as : 02/11/17 19:38)<BR>Reported: 2/12/2017 5:55:58 AM 05:55<BR>Posted: 2/17/2017<BR>Location: Sarasota, FL<BR>Shape: Circle<BR>Duration:5 minutes</FONT></TD>'",b'COLOR=#000000>bright orange flare like objects moving very slowly in night sky<BR><BR>Witnessed six to eight very bright orange circular objects in a semi straight line over Sarasota Florida at around 7:38 pm on 2/11/2017.  A few seemed to fade out and back in while others stayed very bright (could be from clouds but it seemed crystal clear out).    About 2 hours later that evening I could smell what seemed to be gum powder or the smell right after fireworks and the area had a heavy haze near the ground.  This event happened within a few mile of the coast line so not sure if maybe the Coast Guard accidentally dropped some flares or not....they have not said anything that I have heard at this time.  Note:  this happened within a mile of SRQ airport.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 19:00  (Entered as : 02/11/2017 19:00)<BR>Reported: 2/12/2017 2:55:43 AM 02:55<BR>Posted: 2/17/2017<BR>Location: Saint Petersburg, FL<BR>Shape: Light<BR>Duration:4 minutes</FONT></TD>'",b'COLOR=#000000>I came out from house and sae 5 red lights in the sky couple minutes...than lights gone<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 19:00  (Entered as : 02/11/2017 19:00)<BR>Reported: 2/14/2017 7:31:14 AM 07:31<BR>Posted: 2/17/2017<BR>Location: Saint Petersburg, FL<BR>Shape: Light<BR>Duration:4 minutes</FONT></TD>'",b'COLOR=#000000>5 red lights in the sky.  i make just with cellphone galaxy note 3 pics...processed in snapseed....no colored pics .  try get sharp is possible.  maybe drones or military toys i dont know but not sound</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 18:35  (Entered as : 02/11/2017 18:35)<BR>Reported: 2/13/2017 3:09:15 PM 15:09<BR>Posted: 2/17/2017<BR>Location: Bozeman, MT<BR>Shape: Other<BR>Duration:5-7 minutes</FONT></TD>'","b'COLOR=#000000>Bright Lights Appearing Over Bozeman Pass, Montana.<BR><BR>Bozeman, MT - Our sighting location was near Exit 316 off I-90 at Trail Creek at about 18:35 on 2/11/2017.  We had been outside for about 10-15 minutes looking at constellations and planets in the night sky while waiting for the International Space Station (ISS) to pass overhead at the scheduled 18:47.  The sky was black and very clear.  No clouds. The stars, satellites, and planets were easily visible.<BR><BR>Suddenly, in the northeast sky, two large, very bright, white lights just appeared above tree top level.   The light on the right was much brighter than the left.  The brighter light was brighter and larger than Venus was in the sky that night.  The lights were of the same intensity and moved in tandem, remaining the same distance from each other and at a 45 degree angle to each other at all times.  They seemed like they were connected together.<BR><BR>The lights remained stationary as they slowly adjusted their angle until the light on the right became higher in the sky than the left light.  The lights paused a moment, then began to steadily move to the northeast until they disappeared into the night sky. There was no sound, no color to the lights, and no flashing.  They moved slower than the ISS does when it passes overhead, and they were obviously very much lower to the Earth than the ISS.  Total visibility was 5-7 minutes.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 18:31  (Entered as : 02/11/17 18:31)<BR>Reported: 2/13/2017 2:25:15 PM 14:25<BR>Posted: 2/17/2017<BR>Location: Lawrence, KS<BR>Shape: Triangle<BR>Duration:5 minutes</FONT></TD>'","b'COLOR=#000000>Slow, massive, low flying triangle<BR><BR>It was after dark.  3 lights in a triangle shape at what appeared to be very low altitude.  Was approx. 5x the size of a commercial jet but could not tell for sure.  Object moved fairly slow, and was completely silent.  Appeared to be over an apartment complex so there are likely other witnesses.  <BR><BR>First thought was that it was a stealth bomber, however it was much much larger and it was not fast as they usually are.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 15:00  (Entered as : 02/11/2017 15:00)<BR>Reported: 2/16/2017 9:41:06 AM 09:41<BR>Posted: 2/17/2017<BR>Location: Pasadena, MD<BR>Shape: Triangle<BR>Duration:2 minutes</FONT></TD>'","b'COLOR=#000000>Very bright no sound shaped like a triangle<BR><BR>I looked out my living room atrium doors.  Over the Patapsco River, entering into the Chesapeake Bay, I saw what appeared to be the brightest star I ever seen.  I watched it and it slowly moved toward my house.  The light then turned at Fort Smallwood Park and went over my home.  When I looked up, it was a triangle shape with brown underneath with one bright bright light on the back.  It seemed to moved very smooth.  There was no sound what so ever.  It looked like the size of an airplane.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 14:45  (Entered as : 02/11/17 14:45)<BR>Reported: 2/11/2017 3:04:18 PM 15:04<BR>Posted: 2/17/2017<BR>Location: Ames, IA<BR>Shape: Triangle<BR>Duration:3 seconds</FONT></TD>'","b'COLOR=#000000>Three lights in a triangular formation.<BR><BR>As my roommate was driving us home at around 2:45 AM I noticed three lights in a triangle in the northern sky.  At first I thought the lights were reflections on my window, because there could be no other light source in the area, but then I realized my window was down.  I was initially looking outside because there was supposed to be a meteor shower and eclipse that night.  It seemed that as soon as I noticed the lights, they disappeared.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/11/2017 01:00  (Entered as : 02/11/17 1:00)<BR>Reported: 2/11/2017 11:57:26 AM 11:57<BR>Posted: 2/17/2017<BR>Location: Port Orchard, WA<BR>Shape: Formation<BR>Duration:2 hours</FONT></TD>'",b'COLOR=#000000>They made no noise they hovered stationary two hours and did nothing while there were other planes in the air but they never moved they were above where the planes were flying and they had to be larger than the commercial planes flying around.<BR><BR></FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/10/2017 19:15  (Entered as : 02/10/2017 19:!5)<BR>Reported: 2/14/2017 8:20:42 AM 08:20<BR>Posted: 2/17/2017<BR>Location: Hurdle Mills, NC<BR>Shape: Unknown<BR>Duration:30 minutes</FONT></TD>'","b'COLOR=#000000>Missing time during return trip home from picking up pizza.<BR><BR>Hello,  I wanted to share something that happened to me on February 10th, 2017, at around 7:15PM EST.  <BR><BR>On Friday around 6:30PM I left my house to go pickup a pizza we had ordered for dinner.  I made the trip there with nothing abnormal, began the trip home and seem to have lost some time.  <BR><BR>After making a left turn onto NC RT49 in Roxboro, NC, heading back to my home about 9 miles away, I remember seeing a section of the road where after the left turn, the road has 4 lanes.  About a mile or two after that the road narrows to 2 lanes and its around another 8 miles to my house.  I moved here about 3 years ago, so I am usually looking around at landmarks, way points, or familiar sights to keep me aware of where I am.  <BR><BR>During this trip home I remember the part where the road changes to two lanes, but have no memory of what I saw during the trip home until I looked up, saw lights in the sky above me, and realized I had driven passed the road my house in on, and driven another 8 miles or so.  I onl! y remember seeing the lights above the road, and had to sort of hunch down in the seat to see them above the road.  <BR><BR>At that point, I realized where I was, looked at the clock and it was 7:28PM.  I thought maybe I had fallen asleep, but the road has some curves-twists that could not be navigated without some sort of intelligent control.  I have no idea what happened, but thought I needed to tell someone about it.<BR><BR> Thanks, Scott Horner</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/10/2017 19:05  (Entered as : 2-10-17 19:05)<BR>Reported: 2/11/2017 2:05:41 PM 14:05<BR>Posted: 2/17/2017<BR>Location: Duluth, GA<BR>Shape: Cylinder<BR>Duration:1 minute</FONT></TD>'","b""COLOR=#000000>I am a firefighter, while responding to a call, I glanced over to the full moon and the glow that it had around it.  I saw a long cylinder shaped object moving from below the moon\\'s penumbral glow into the glow traveling vertically and along to the right side of the Moon and continued  upward out of the moon\\'s glow.  It was a huge object.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/10/2017 18:35  (Entered as : 02/10/2017 18:35)<BR>Reported: 2/12/2017 7:21:25 AM 07:21<BR>Posted: 2/17/2017<BR>Location: New Kent, VA<BR>Shape: Light<BR>Duration:2 minutes</FONT></TD>'","b'COLOR=#000000>To our left we spotted two orange/red lights at the same altitude close to each other, able to travel lateral.  The lights turned off and where no longer visible.  To our right where 7 additional lights in various positions in the sky, the lights went out at different times and where no longer visible.  We where about 5 miles from the Richmond Airport and seeing planes all of the time, have never seen anything like this.<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/10/2017 18:00  (Entered as : 02/102017 18:00)<BR>Reported: 2/10/2017 10:33:23 PM 22:33<BR>Posted: 2/17/2017<BR>Location: Long Beach, NY<BR>Shape: <BR>Duration:10</FONT></TD>'",b'COLOR=#000000>Circle I. Sky<BR><BR><BR>((NUFORC Note:  Witness provides minimum of information.  Looks like missile launch.  PD))</FONT></TD>'
